"Story","Title","Result","Date","Stability","Duration (s)"
"Authentication","Register using a valid full name, email and password","SUCCESS","2023-05-10T19:17:03.2021686+07:00[Asia/Jakarta]","0.0","8.57"
"Authentication","Login with registered or correct email and password","SUCCESS","2023-05-10T19:17:11.8567642+07:00[Asia/Jakarta]","0.0","0.57"
"Authentication","view user information","SUCCESS","2023-05-10T19:17:12.4761054+07:00[Asia/Jakarta]","0.0","0.46"
"Products","GET All Product","SUCCESS","2023-05-10T19:17:13.0226453+07:00[Asia/Jakarta]","0.0","1.67"
"Products","GET Product by id","SUCCESS","2023-05-10T19:17:14.7434474+07:00[Asia/Jakarta]","0.0","0.81"
"Products","Add new product","SUCCESS","2023-05-10T19:17:15.5911868+07:00[Asia/Jakarta]","0.0","0.35"
"Products","DELETE Product","SUCCESS","2023-05-10T19:17:15.9646973+07:00[Asia/Jakarta]","0.0","0.38"
"Products","GET products rating","SUCCESS","2023-05-10T19:17:16.3675587+07:00[Asia/Jakarta]","0.0","0.38"
"Products","POST As admin I have be able to create new products rating","SUCCESS","2023-05-10T19:17:16.7693929+07:00[Asia/Jakarta]","0.0","0.5"
"Products","GET products comment","SUCCESS","2023-05-10T19:17:17.2869843+07:00[Asia/Jakarta]","0.0","0.34"
"Products","POST As admin I have be able to create new products comment","SUCCESS","2023-05-10T19:17:17.6760091+07:00[Asia/Jakarta]","0.0","0.45"
"order","GET All Order","SUCCESS","2023-05-10T19:17:18.1577656+07:00[Asia/Jakarta]","0.0","0.57"
"order","POST As admin I have be able to create new order","SUCCESS","2023-05-10T19:17:18.7442799+07:00[Asia/Jakarta]","0.0","0.28"
"order","GET As an admin I have be able to get id order","SUCCESS","2023-05-10T19:17:19.0396585+07:00[Asia/Jakarta]","0.0","0.38"
"category","GET  list of category","SUCCESS","2023-05-10T19:17:19.5328658+07:00[Asia/Jakarta]","0.0","0.54"
"category","POST As an admin I have be able to create new product category","SUCCESS","2023-05-10T19:17:20.0956097+07:00[Asia/Jakarta]","0.0","0.43"
"category","GET id product category","SUCCESS","2023-05-10T19:17:20.5584045+07:00[Asia/Jakarta]","0.0","0.28"
"category","DELETE category","SUCCESS","2023-05-10T19:17:20.8626186+07:00[Asia/Jakarta]","0.0","0.33"
